"","L","R"
"915","Bmp3","Acvr2a"
"916","Bmp3","Acvr2b"
"917","Bmp3","Bmpr1a"
"918","Bmp3","Bmpr1b"
"919","Bmp3","Bmpr2"
"920","Bmp4","Acvr1"
"921","Bmp4","Acvr2a"
"922","Bmp4","Acvr2b"
"923","Bmp4","Bmpr1a"
"924","Bmp4","Bmpr1b"
"925","Bmp4","Bmpr2"
"926","Bmp5","Acvr1"
"927","Bmp5","Acvr2a"
"928","Bmp5","Acvr2b"
"929","Bmp5","Bmpr1a"
"930","Bmp5","Bmpr1b"
"931","Bmp5","Bmpr2"
